iter	RMSE
0	310.6224621
1	309.9042642
2	309.1084807
3	308.3094954
4	307.5209891
5	306.7269235
6	305.9472798
7	305.175406
8	304.4324116
9	303.7045415
10	302.9758625
11	302.2771507
12	301.5828656
13	300.890482
14	300.2156378
15	299.5445187
16	298.8934547
17	298.2585805
18	297.6314656
19	297.0077648
20	296.3951175
21	295.7860227
22	295.1995366
23	294.6182475
24	294.0514088
25	293.4979999
26	292.9443313
27	292.4077967
28	291.8960579
29	291.3634415
30	290.8555013
31	290.3638683
32	289.8806945
33	289.3864957
34	288.9177439
35	288.4452284
36	287.97737
37	287.5162706
38	287.0630921
39	286.6295209
40	286.1892352
41	285.7569201
42	285.3205231
43	284.9013006
44	284.5169876
45	284.1177849
46	283.7237725
47	283.3385586
48	282.9577525
49	282.5878369
50	282.2307061
51	281.8748736
52	281.5208612
53	281.1851279
54	280.8436214
55	280.5018253
56	280.1793754
57	279.8655457
58	279.5331732
59	279.2149944
60	278.8899319
61	278.5730451
62	278.2710074
63	277.969507
64	277.6877882
65	277.3976258
66	277.1270636
67	276.8314668
68	276.5497266
69	276.2842624
70	276.026059
71	275.7548
72	275.4739116
73	275.2030788
74	274.9281353
75	274.6737134
76	274.4302313
77	274.1733637
78	273.943712
79	273.7114278
80	273.48565
81	273.2376561
82	273.0035421
83	272.7759875
84	272.5436718
85	272.3144514
86	272.0961095
87	271.8786273
88	271.6636249
89	271.4489452
90	271.2607292
91	271.0623136
92	270.8730974
93	270.6682897
94	270.4686938
95	270.2823133
96	270.088921
97	269.903714
98	269.7052098
99	269.5172102
100	269.336465
101	269.168953
102	268.9973178
103	268.8217736
104	268.6470738
105	268.4615269
106	268.2937531
107	268.1282464
108	267.9704053
109	267.8134437
110	267.6610823
111	267.5143501
112	267.3619669
113	267.2099134
114	267.0603189
115	266.9146617
116	266.7645454
117	266.627534
118	266.4770184
119	266.3391151
120	266.2091559
121	266.0834941
122	265.9552151
123	265.8239293
124	265.7031062
125	265.5812682
126	265.4522927
127	265.3278467
128	265.2066642
129	265.0926536
130	264.9767015
131	264.858061
132	264.7552711
133	264.6465879
134	264.5353306
135	264.4280767
136	264.32234
137	264.2192951
138	264.1220466
139	264.0279362
140	263.9237919
141	263.8244249
142	263.7342502
143	263.640248
144	263.5477855
145	263.4543247
146	263.3640049
147	263.2800943
148	263.1940682
149	263.1107917
150	263.0268237
151	262.9461112
152	262.8536478
153	262.7689692
154	262.6865972
155	262.6113013
156	262.5351709
157	262.4605405
158	262.3829385
159	262.2989428
160	262.2320204
161	262.1551161
162	262.0832123
163	262.008729
164	261.9429079
165	261.8697421
166	261.7953242
167	261.7310643
168	261.663152
169	261.6007812
170	261.5369385
171	261.4669767
172	261.4077779
173	261.3457493
174	261.2826466
175	261.2315733
176	261.1631011
177	261.1050216
178	261.0420098
179	260.9839622
180	260.9269415
181	260.8724961
182	260.8177804
183	260.7683853
184	260.7031044
185	260.640802
186	260.5715866
187	260.5061077
188	260.443368
189	260.3804951
190	260.3176621
191	260.2725329
192	260.2238383
193	260.1597809
194	260.1059051
195	260.0525672
196	259.9918727
197	259.9368867
198	259.8797326
199	259.8280324
200	259.7805236
201	259.7306541
202	259.6815123
203	259.6271579
204	259.5745012
205	259.5275356
206	259.4800524
207	259.4320079
208	259.3757235
209	259.3304564
210	259.2835638
211	259.2438828
212	259.1956628
213	259.1511185
214	259.1078676
215	259.0682324
216	259.0238661
217	258.9817547
218	258.9386754
219	258.901104
220	258.8649661
221	258.830358
222	258.7934394
223	258.7560889
224	258.7256473
225	258.681818
226	258.65013
227	258.6119216
228	258.5757844
229	258.5418634
230	258.5070208
231	258.4717703
232	258.4389798
233	258.4035421
234	258.3746241
235	258.3371919
236	258.3055945
237	258.2709835
238	258.2457397
239	258.220482
240	258.1910985
241	258.1594031
242	258.1304837
243	258.1085487
244	258.082195
245	258.053329
246	258.0256246
247	257.9962768
248	257.962027
249	257.9315885
250	257.9034324
251	257.8682493
252	257.8442933
253	257.8161027
254	257.7898386
255	257.763942
256	257.7436343
257	257.7152355
258	257.6882728
259	257.6636956
260	257.633035
261	257.6077018
262	257.5805998
263	257.5562132
264	257.5241677
265	257.4996971
266	257.4670908
267	257.4384204
268	257.4136229
269	257.3918381
270	257.3671999
271	257.3461109
272	257.3217972
273	257.3027088
274	257.286036
275	257.2666858
276	257.2477029
277	257.2257524
278	257.2087373
279	257.18825
280	257.162575
281	257.1370326
282	257.1184815
283	257.1053609
284	257.0867141
285	257.0625778
286	257.0347251
287	257.0170288
288	256.9969943
289	256.9802318
290	256.9644265
291	256.9468064
292	256.9324568
293	256.9155877
294	256.8958496
295	256.8776954
296	256.8589921
297	256.8445299
298	256.8280222
299	256.8058488
