iter	Passed	Remaining
0	216	64793
1	285	42572
2	354	35115
3	425	31486
4	503	29730
5	613	30082
6	711	29793
7	803	29318
8	909	29422
9	1006	29176
10	1115	29310
11	1203	28879
12	1307	28871
13	1394	28495
14	1479	28105
15	1563	27760
16	1667	27758
17	1752	27458
18	1865	27587
19	1950	27312
20	2044	27168
21	2129	26909
22	2222	26761
23	2306	26529
24	2417	26597
25	2500	26346
26	2626	26561
27	2711	26343
28	2818	26341
29	2907	26163
30	3008	26104
31	3106	26017
32	3195	25856
33	3278	25652
34	3369	25513
35	3447	25282
36	3555	25270
37	3645	25137
38	3837	25678
39	3972	25823
40	4061	25656
41	4166	25597
42	4252	25416
43	4354	25337
44	4448	25206
45	4537	25056
46	4620	24873
47	4710	24728
48	4795	24566
49	4880	24401
50	4966	24247
51	5116	24404
52	5208	24273
53	5317	24226
54	5397	24043
55	5474	23854
56	5569	23745
57	5669	23657
58	5746	23472
59	5829	23319
60	5905	23138
61	5990	22995
62	6077	22863
63	6179	22785
64	6299	22775
65	6379	22617
66	6450	22430
67	6520	22245
68	6598	22089
69	6686	21969
70	6771	21839
71	6868	21749
72	6976	21693
73	7063	21571
74	7183	21550
75	7293	21495
76	7395	21419
77	7481	21292
78	7574	21190
79	7652	21044
80	7741	20930
81	7862	20902
82	7948	20780
83	8037	20668
84	8118	20534
85	8215	20442
86	8323	20377
87	8420	20285
88	8506	20168
89	8596	20057
90	8686	19950
91	8793	19881
92	8876	19756
93	8961	19639
94	9049	19528
95	9163	19472
96	9262	19385
97	9371	19316
98	9460	19207
99	9549	19098
100	9633	18980
101	9721	18871
102	9812	18768
103	9937	18728
104	10028	18623
105	10122	18526
106	10209	18414
107	10306	18321
108	10395	18215
109	10504	18143
110	10595	18041
111	10683	17933
112	10770	17823
113	10855	17710
114	10947	17610
115	11048	17524
116	11182	17490
117	11297	17425
118	11384	17315
119	11473	17210
120	11555	17094
121	11630	16969
122	11704	16843
123	11787	16731
124	11868	16616
125	11946	16497
126	12044	16407
127	12149	16325
128	12234	16218
129	12315	16105
130	12402	16000
131	12484	15889
132	12574	15789
133	12670	15695
134	12744	15576
135	12823	15463
136	12908	15358
137	12997	15258
138	13081	15151
139	13163	15043
140	13264	14957
141	13346	14850
142	13429	14743
143	13512	14638
144	13597	14534
145	13686	14436
146	13785	14348
147	13868	14243
148	13950	14138
149	14089	14089
150	14186	13998
151	14358	13980
152	14483	13915
153	14566	13809
154	14646	13701
155	14726	13593
156	14805	13485
157	14879	13372
158	14963	13269
159	15054	13173
160	15148	13078
161	15241	12983
162	15352	12903
163	15435	12800
164	15534	12710
165	15626	12613
166	15735	12531
167	15832	12439
168	15917	12338
169	16000	12235
170	16080	12130
171	16164	12029
172	16243	11924
173	16358	11845
174	16448	11749
175	16525	11642
176	16627	11554
177	16715	11456
178	16790	11350
179	16876	11250
180	16962	11152
181	17015	11031
182	17112	10940
183	17194	10840
184	17288	10746
185	17397	10662
186	17480	10562
187	17570	10467
188	17652	10367
189	17737	10268
190	17814	10166
191	17898	10067
192	17999	9978
193	18085	9881
194	18161	9779
195	18274	9696
196	18351	9594
197	18427	9492
198	18504	9391
199	18584	9292
200	18670	9195
201	18740	9092
202	18837	9000
203	18912	8900
204	18990	8800
205	19075	8704
206	19150	8603
207	19243	8511
208	19338	8420
209	19433	8328
210	19502	8226
211	19580	8127
212	19659	8030
213	19735	7930
214	19830	7839
215	19902	7740
216	19990	7646
217	20064	7547
218	20135	7447
219	20210	7349
220	20291	7253
221	20374	7158
222	20458	7064
223	20549	6971
224	20626	6875
225	20704	6779
226	20785	6684
227	20874	6592
228	20946	6494
229	21026	6399
230	21098	6302
231	21222	6220
232	21308	6127
233	21389	6032
234	21477	5940
235	21563	5847
236	21642	5753
237	21727	5660
238	21821	5569
239	21928	5482
240	22013	5389
241	22096	5295
242	22183	5203
243	22272	5111
244	22353	5018
245	22438	4925
246	22533	4835
247	22608	4740
248	22693	4648
249	22766	4553
250	22844	4459
251	22922	4366
252	23005	4273
253	23092	4182
254	23185	4091
255	23273	4000
256	23350	3906
257	23448	3817
258	23532	3725
259	23612	3632
260	23723	3544
261	23809	3453
262	23888	3360
263	23978	3269
264	24044	3175
265	24167	3089
266	24251	2997
267	24334	2905
268	24419	2814
269	24517	2724
270	24594	2631
271	24696	2542
272	24779	2450
273	24861	2359
274	24949	2268
275	25021	2175
276	25096	2083
277	25169	1991
278	25244	1900
279	25322	1808
280	25396	1717
281	25476	1626
282	25557	1535
283	25649	1445
284	25732	1354
285	25828	1264
286	25930	1174
287	26074	1086
288	26219	997
289	26324	907
290	26416	816
291	26494	725
292	26578	634
293	26666	544
294	26747	453
295	26836	362
296	26922	271
297	27015	181
298	27096	90
299	27186	0
